text,label
broken thermometer with mercury,Hazardous
old CFL bulb,Hazardous
car engine oil,Hazardous
varnish can,Hazardous
wood stain can,Hazardous
lithium battery pack,Hazardous
sodium hydroxide drain cleaner,Hazardous
chlorine bleach bottle,Hazardous
ammonia cleaning solution,Hazardous
photographic developer chemicals,Hazardous
darkroom fixer chemical,Hazardous
pool shock chemical,Hazardous
flea treatment chemical,Hazardous
roach killer spray,Hazardous
mothball container,Hazardous
old thermometer,Hazardous
neon light tube,Hazardous
broken LED strip with circuit,Hazardous
dead lithium coin cell battery,Hazardous
old watch battery,Hazardous
hearing aid battery,Hazardous
laptop screen with mercury,Hazardous
CRT television,Hazardous
old desktop computer tower,Hazardous
printer toner cartridge,Hazardous
used engine coolant,Hazardous
transmission fluid bottle,Hazardous
power steering fluid,Hazardous
old generator fuel,Hazardous
leaking car oil,Hazardous
contaminated fuel drum,Hazardous
industrial degreaser,Hazardous
chemical rust remover,Hazardous
paint stripper container,Hazardous
turpentine bottle,Hazardous
lacquer thinner,Hazardous
fiberglass resin kit,Hazardous
epoxy hardener tube,Hazardous
old roofing tar,Hazardous
asphalt sealant container,Hazardous
used oil filter,Hazardous
car air bag inflator,Hazardous
old smoke alarm,Hazardous
radioactive material container,Hazardous
radon testing kit chemicals,Hazardous
old lead paint chips,Hazardous
x-ray film chemicals,Hazardous
laboratory acid bottle,Hazardous
sodium azide container,Hazardous
hydrogen peroxide industrial,Hazardous
nitric acid bottle,Hazardous
sulfuric acid container,Hazardous
formaldehyde solution,Hazardous
chloroform bottle,Hazardous
ethylene glycol antifreeze,Hazardous
old aerosol deodorant,Hazardous
pressurized gas cylinder,Hazardous
butane lighter canister,Hazardous
old car airbag module,Hazardous
